Customer ID,Churn Reason, Total Revenue ,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Customer Status,Churn Category
0164-APGRB,,11979.34,Female,56,No,0,Calistoga,94515,38.629618,-122.593216,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,0,0,3482.64,Stayed,
8263-QMNTJ,,11868.34,Male,46,Yes,0,San Francisco,94104,37.791222,-122.402241,2,72,Offer A,Yes,47.82,Yes,Yes,Fiber Optic,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115.55,8425.3,0,0,3443.04,Stayed,
5451-YHYPW,,11795.78,Female,75,Yes,0,San Francisco,94129,37.797526,-122.464531,2,72,Offer A,Yes,44.89,Yes,Yes,Fiber Optic,24,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,115.75,8443.7,0,120,3232.08,Stayed,
3810-DVDQQ,,11688.90,Female,28,Yes,1,Shasta Lake,96019,40.692523,-122.369876,10,72,None,Yes,47.02,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,117.6,8308.9,5.44,0,3385.44,Stayed,
7569-NMZYQ,,11634.53,Female,33,Yes,3,Middletown,95461,38.787446,-122.58675,1,72,None,Yes,41.14,Yes,Yes,Fiber Optic,53,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,118.75,8672.45,0,0,2962.08,Stayed,
3963-RYFNS,,11596.99,Female,25,No,0,Venice,90291,33.991782,-118.479229,0,72,Offer A,Yes,48.52,Yes,Yes,Fiber Optic,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,116.45,8013.55,0,90,3493.44,Stayed,
9351-HXDMR,,11564.37,Male,37,Yes,0,Lytle Creek,92358,34.238162,-117.534306,6,72,Offer A,Yes,46.16,Yes,Yes,Fiber Optic,14,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,110.9,8240.85,0,0,3323.52,Stayed,
5914-XRFQB,,11529.54,Male,58,Yes,0,Caspar,95420,39.361283,-123.784599,0,72,None,Yes,43.12,Yes,Yes,Fiber Optic,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115.8,8424.9,0,0,3104.64,Stayed,
0619-OLYUR,,11514.81,Male,32,Yes,0,Garden Grove,92840,33.787165,-117.931889,1,72,None,Yes,47.83,Yes,Yes,Fiber Optic,27,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.9,8071.05,0,0,3443.76,Stayed,
3508-CFVZL,,11501.82,Female,55,No,0,El Monte,91731,34.079934,-118.046695,0,71,Offer A,Yes,49.52,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,111.3,7985.9,0,0,3515.92,Stayed,
